\N|Reservierung EEC|20192|2019-09-16|2019-09-16|18:00|20:00|Mo|Einzeltermin|4.016
\N|Reservierung Frau Bernhardt|20192|2019-09-16|2019-09-16|13:00|14:00|Mo|wöchentlich|9.345
\N|Reservierung Prof. Dr. Baier|20192|2019-09-16|2019-09-16|15:15|16:45|Mo|Einzeltermin|5.302
\N|Reservierung Prof. Dr. Bühler|20192|2019-09-16|2019-09-16|16:45|18:30|Mo|Einzeltermin|3.101
\N|Reservierung Prof. Dr. Eberlein|20192|2019-09-16|2019-09-16|11:15|14:15|Mo|Einzeltermin|4.112
\N|Reservierung Prof. Dr. Kramer|20192|2019-09-16|2019-09-16|08:00|20:15|Mo|Einzeltermin|5.105
\N|Reservierung Prof. Dr. Leich|20192|2019-09-16|2019-09-16|18:00|19:00|Mo|Einzeltermin|2.206
\N|Reservierung Prof. Dr. Pundt|20192|2019-09-16|2019-09-16|15:00|17:30|Mo|Einzeltermin|2.206
\N|Reservierung Prof. Dr. Stolzenburg|20192|2019-09-16|2019-09-16|08:00|09:30|Mo|Einzeltermin|2.206
\N|Reservierung Prof. Dr. Wiese|20192|2019-09-16|2019-09-16|16:30|18:00|Mo|Einzeltermin|4.110
\N|Reservierung Prof. Wilhelm|20192|2019-09-16|2019-09-16|15:00|17:00|Mo|Einzeltermin|9.327
\N|Reservierung Sonstige|20192|2019-09-16|2019-09-16|15:00|18:30|Mo|Einzeltermin|5.101
\N|Veranstaltung Dekanat VW|20192|2019-09-16|2019-09-16|08:00|13:15|Mo|Einzeltermin|N113
\N|Veranstaltung Dekanat VW|20192|2019-09-16|2019-09-16|08:00|13:15|Mo|Einzeltermin|N110
10255               |Verfassungsrecht|20192|2019-09-16|\N|17:15|18:45|Mo|wöchentlich|D101
10347               |Vertiefung Bau- und Umweltverwaltung 2|20192|2019-09-16|2019-09-16|09:45|13:15|Mo|Einzeltermin|S005
10344               |Vertiefung Ordnungsrecht 2|20192|2019-09-16|\N|13:45|17:00|Mo|wöchentlich|S112
10368               |Vertiefung Personalmanagement 1|20192|2019-09-16|\N|09:45|13:15|Mo|wöchentlich|S105
10374               |Vertiefung Personalmanagement 2|20192|2019-09-16|\N|13:45|17:00|Mo|wöchentlich|S105
10252               |Allgemeine Betriebswirtschaftslehre|20192|2019-09-17|\N|09:45|11:15|Di|wöchentlich|N110
10252               |Allgemeine Betriebswirtschaftslehre|20192|2019-09-17|\N|08:00|09:30|Di|wöchentlich|N110
10252               |Allgemeine Betriebswirtschaftslehre|20192|2019-09-17|\N|13:45|15:15|Di|wöchentlich|N110
5912                |Allgemeine Psychologie|20192|2019-09-17|\N|08:00|09:30|Di|wöchentlich|4.001
5912                |Allgemeine Psychologie|20192|2019-09-17|\N|09:45|11:15|Di|wöchentlich|4.014
4049                |Antriebstechnik|20192|2019-09-17|2019-09-17|18:45|20:15|Di|Einzeltermin|5.105
7507                |Arbeitsrecht|20192|2019-09-17|\N|11:30|13:00|Di|wöchentlich|4.015
7507                |Arbeitsrecht|20192|2019-09-17|\N|15:15|16:45|Di|wöchentlich|4.102
10075               |Arbeits- und Dienstrecht|20192|2019-09-17|\N|17:15|20:30|Di|wöchentlich|S005
5926                |Arbeits- und Organisationspsychologie|20192|2019-09-17|\N|08:00|09:30|Di|wöchentlich|4.102
1170                |Buchführung|20192|2019-09-17|\N|09:45|11:15|Di|wöchentlich|4.009
1170                |Buchführung|20192|2019-09-17|\N|08:00|09:30|Di|wöchentlich|4.005
1170                |Buchführung|20192|2019-09-17|\N|13:30|15:00|Di|wöchentlich|4.005
2270                |Business English I|20192|2019-09-17|\N|09:45|11:15|Di|wöchentlich|9.210
2271                |Business English II|20192|2019-09-17|\N|15:15|16:45|Di|wöchentlich|9.342
4602                |Business Process Reengineering (CONS)|20192|2019-09-17|\N|08:00|09:30|Di|wöchentlich|4.006
652                 |Compliance|20192|2019-09-17|\N|17:00|18:30|Di|wöchentlich|4.007
7538                |Controlling|20192|2019-09-17|\N|17:00|18:30|Di|wöchentlich|HS C
7538                |Controlling|20192|2019-09-17|\N|15:15|16:45|Di|wöchentlich|HS C
5631                |Datenanalyse 1 (MAFO)|20192|2019-09-17|\N|08:00|09:30|Di|wöchentlich|4.108
5632                |Datenanalyse 2 (MAFO)|20192|2019-09-17|\N|09:45|11:15|Di|wöchentlich|4.108
7549                |Dienstleistungsmarketing|20192|2019-09-17|\N|13:30|15:00|Di|wöchentlich|4.113
7549                |Dienstleistungsmarketing|20192|2019-09-17|\N|11:30|13:00|Di|wöchentlich|4.113
45081               |Digitale Regelungssysteme|20192|2019-09-17|2019-09-17|13:30|16:45|Di|Einzeltermin|9.101
1182                |EDV 3: Datenbanken|20192|2019-09-17|\N|09:45|11:15|Di|wöchentlich|4.208
1177                |EDV-Anwendungen 1|20192|2019-09-17|\N|08:00|09:30|Di|wöchentlich|4.208
1262                |Einf.Tour.man. 1|20192|2019-09-17|\N|13:30|15:00|Di|wöchentlich|4.007
1010                |Einführung BWL|20192|2019-09-17|\N|09:45|11:15|Di|wöchentlich|4.006
1017                |Einführung externes Rechnungswesen|20192|2019-09-17|\N|17:00|18:30|Di|wöchentlich|4.006
5616                |Einführung in das kollegiale Coaching (COACH)|20192|2019-09-17|\N|11:30|13:00|Di|wöchentlich|2.306
5616                |Einführung in das kollegiale Coaching (COACH)|20192|2019-09-17|\N|11:30|13:00|Di|wöchentlich|2.406
45451               |Einführung Softwaregestütztes Marketing|20192|2019-09-17|2019-10-29|11:30|13:00|Di|wöchentlich|4.208
403                 |Empirieprojekt|20192|2019-09-17|\N|15:15|16:45|Di|wöchentlich|4.109
10306               |Englisch (A2)|20192|2019-09-17|\N|13:45|15:15|Di|wöchentlich|S103
10306               |Englisch (A2)|20192|2019-09-17|\N|15:30|17:00|Di|wöchentlich|S103
1210                |Englisch für Tourismus 1|20192|2019-09-17|\N|17:00|18:30|Di|wöchentlich|9.341
1211                |Englisch für Tourismus 2|20192|2019-09-17|\N|08:00|09:30|Di|wöchentlich|9.210
